paridadeCompra,paridadeVenda,cotacaoCompra,cotacaoVenda,dataHoraCotacao,tipoBoletim
"0,89151","0,89609","2,13339","2,14703",2002-01-14 16:30:00.0,Fechamento Interbancário
"0,89345","0,89535","2,15001","2,15528",2002-01-14 17:49:00.0,Fechamento
"0,89002","0,89459","2,12269","2,14253",2002-01-15 09:38:00.0,Abertura
"0,88932","0,89388","2,11658","2,13191",2002-01-15 10:00:00.0,Intermediário
"0,89002","0,89459","2,12091","2,13359",2002-01-15 10:30:00.0,Intermediário
"0,88982","0,89439","2,1151","2,12864",2002-01-15 11:00:00.0,Intermediário
"0,89012","0,89469","2,10957","2,1222",2002-01-15 11:30:00.0,Intermediário
"0,88992","0,89449","2,10643","2,11904",2002-01-15 12:00:00.0,Intermediário
"0,89032","0,89489","2,10916","2,12088",2002-01-15 12:30:00.0,Intermediário
"0,88952","0,89409","2,10282","2,11541",2002-01-15 13:00:00.0,Intermediário
"0,88972","0,89429","2,10329","2,11588",2002-01-15 13:30:00.0,Intermediário
"0,88922","0,89378","2,10211","2,11469",2002-01-15 14:00:00.0,Intermediário
"0,88922","0,89378","2,10211","2,11469",2002-01-15 14:30:00.0,Intermediário
"0,88932","0,89388","2,09701","2,10957",2002-01-15 15:00:00.0,Intermediário
"0,88932","0,89388","2,10502","2,11851",2002-01-15 15:30:00.0,Intermediário
"0,88742","0,89198","2,10497","2,11756",2002-01-15 16:00:00.0,Intermediário
"0,88483","0,88938","2,09881","2,11227",2002-01-15 16:30:00.0,Fechamento Interbancário
"0,88686","0,88874","2,10158","2,10677",2002-01-15 17:56:00.0,Fechamento
"0,87924","0,88376","2,08643","2,10601",2002-01-16 09:33:00.0,Abertura
"0,87914","0,88366","2,09762","2,11107",2002-01-16 10:00:00.0,Intermediário
"0,87944","0,88396","2,10537","2,11798",2002-01-16 10:30:00.0,Intermediário
"0,88004","0,88457","2,09977","2,11323",2002-01-16 11:00:00.0,Intermediário
"0,87964","0,88417","2,10057","2,11315",2002-01-16 11:30:00.0,Intermediário
"0,88014","0,88467","2,10617","2,11789",2002-01-16 12:00:00.0,Intermediário
"0,88044","0,88497","2,1016","2,11418",2002-01-16 12:30:00.0,Intermediário
"0,87984","0,88437","2,10281","2,11629",2002-01-16 13:00:00.0,Intermediário
"0,88103","0,88557","2,10567","2,11828",2002-01-16 13:30:00.0,Intermediário
"0,88163","0,88617","2,1071","2,11972",2002-01-16 14:00:00.0,Intermediário
"0,88143","0,88597","2,10663","2,11924",2002-01-16 14:30:00.0,Intermediário
"0,88133","0,88587","2,09757","2,11102",2002-01-16 15:00:00.0,Intermediário
"0,88113","0,88567","2,08653","2,09903",2002-01-16 15:30:00.0,Intermediário
"0,88054","0,88507","2,0807","2,09318",2002-01-16 16:00:00.0,Intermediário
"0,88094","0,88547","2,08165","2,09413",2002-01-16 16:30:00.0,Fechamento Interbancário
"0,88266","0,88454","2,10593","2,11114",2002-01-16 18:12:00.0,Fechamento
"0,87954","0,88407","2,06867","2,08816",2002-01-17 09:51:00.0,Abertura
"0,87904","0,88356","2,07365","2,08609",2002-01-17 10:00:00.0,Intermediário
"0,87854","0,88306","2,07511","2,08756",2002-01-17 10:30:00.0,Intermediário
"0,87924","0,88376","2,0794","2,09099",2002-01-17 11:00:00.0,Intermediário
"0,87944","0,88396","2,08339","2,09676",2002-01-17 11:30:00.0,Intermediário
"0,87924","0,88376","2,08291","2,0954",2002-01-17 12:00:00.0,Intermediário
"0,87944","0,88396","2,07987","2,09146",2002-01-17 12:30:00.0,Intermediário
"0,87904","0,88356","2,07453","2,08786",2002-01-17 13:00:00.0,Intermediário
"0,87924","0,88376","2,075","2,08745",2002-01-17 13:30:00.0,Intermediário
"0,87874","0,88326","2,07382","2,08627",2002-01-17 14:00:00.0,Intermediário
"0,87954","0,88407","2,07571","2,08816",2002-01-17 14:30:00.0,Intermediário
"0,87924","0,88376","2,07324","2,08568",2002-01-17 15:00:00.0,Intermediário
"0,87914","0,88366","2,07477","2,08721",2002-01-17 15:30:00.0,Intermediário
"0,87904","0,88356","2,09651","2,11172",2002-01-17 16:00:00.0,Intermediário
"0,87894","0,88346","2,091","2,10353",2002-01-17 16:30:00.0,Fechamento Interbancário
"0,88086","0,88274","2,08173","2,08689",2002-01-17 17:49:00.0,Fechamento
"0,87894","0,88346","2,09187","2,11148",2002-01-18 09:35:00.0,Abertura
"0,87884","0,88336","2,09691","2,10947",2002-01-18 10:00:00.0,Intermediário
"0,87844","0,88296","2,08981","2,10322",2002-01-18 10:30:00.0,Intermediário
"0,87904","0,88356","2,08244","2,09581",2002-01-18 11:00:00.0,Intermediário
"0,87904","0,88356","2,08772","2,10023",2002-01-18 11:30:00.0,Intermediário
"0,87894","0,88346","2,08133","2,09292",2002-01-18 12:00:00.0,Intermediário
"0,87944","0,88396","2,08251","2,09411",2002-01-18 12:30:00.0,Intermediário
"0,87794","0,88246","2,08072","2,0932",2002-01-18 13:00:00.0,Intermediário
"0,88084","0,88537","2,08758","2,10009",2002-01-18 13:30:00.0,Intermediário
"0,88153","0,88607","2,08923","2,10176",2002-01-18 14:00:00.0,Intermediário
"0,88203","0,88657","2,09042","2,10294",2002-01-18 14:30:00.0,Intermediário
"0,88203","0,88657","2,09306","2,1056",2002-01-18 15:00:00.0,Intermediário
"0,88253","0,88707","2,0916","2,10413",2002-01-18 15:30:00.0,Intermediário
"0,88323","0,88777","2,08884","2,10224",2002-01-18 16:00:00.0,Intermediário
"0,88283","0,88737","2,08701","2,09952",2002-01-18 16:30:00.0,Fechamento Interbancário
"0,88396","0,88584","2,09887","2,10405",2002-01-18 17:34:00.0,Fechamento
"0,88253","0,88707","2,08454","2,10413",2002-01-21 09:41:00.0,Abertura
"0,88223","0,88677","2,08913","2,10253",2002-01-21 10:00:00.0,Intermediário
"0,88233","0,88687","2,09466","2,1072",2002-01-21 10:30:00.0,Intermediário
"0,88243","0,88697","2,09401","2,10655",2002-01-21 11:00:00.0,Intermediário
"0,88173","0,88627","2,09059","2,10312",2002-01-21 11:30:00.0,Intermediário
"0,88213","0,88667","2,09418","2,10673",2002-01-21 12:00:00.0,Intermediário
"0,88223","0,88677","2,09795","2,11051",2002-01-21 12:30:00.0,Intermediário
"0,88203","0,88657","2,09306","2,1056",2002-01-21 13:00:00.0,Intermediário
"0,88153","0,88607","2,09188","2,10441",2002-01-21 13:30:00.0,Intermediário
"0,88143","0,88597","2,09164","2,10417",2002-01-21 14:00:00.0,Intermediário
"0,88123","0,88577","2,09117","2,1037",2002-01-21 14:30:00.0,Intermediário
"0,88183","0,88637","2,09171","2,10424",2002-01-21 15:00:00.0,Intermediário
"0,88153","0,88607","2,09188","2,1053",2002-01-21 15:30:00.0,Intermediário
"0,88153","0,88607","2,091","2,10353",2002-01-21 16:00:00.0,Intermediário
"0,88153","0,88607","2,091","2,10353",2002-01-21 16:30:00.0,Fechamento Interbancário
"0,88356","0,88544","2,09704","2,10222",2002-01-21 18:10:00.0,Fechamento
"0,88203","0,88657","2,07983","2,0994",2002-01-22 09:32:00.0,Abertura
"0,88123","0,88577","2,085","2,09838",2002-01-22 10:00:00.0,Intermediário
"0,88123","0,88577","2,08147","2,09396",2002-01-22 10:30:00.0,Intermediário
"0,88123","0,88577","2,08236","2,09573",2002-01-22 11:00:00.0,Intermediário
"0,88113","0,88567","2,083","2,09549",2002-01-22 11:30:00.0,Intermediário
"0,88113","0,88567","2,083","2,09549",2002-01-22 12:00:00.0,Intermediário
"0,88084","0,88537","2,07965","2,09301",2002-01-22 12:30:00.0,Intermediário
"0,88064","0,88517","2,08358","2,09519",2002-01-22 13:00:00.0,Intermediário
"0,88014","0,88467","2,0824","2,094",2002-01-22 13:30:00.0,Intermediário
"0,88054","0,88507","2,08335","2,09495",2002-01-22 14:00:00.0,Intermediário
"0,88163","0,88617","2,08594","2,09756",2002-01-22 14:30:00.0,Intermediário
"0,88183","0,88637","2,09435","2,1069",2002-01-22 15:00:00.0,Intermediário
"0,88173","0,88627","2,095","2,10843",2002-01-22 15:30:00.0,Intermediário
"0,88273","0,88727","2,09913","2,11171",2002-01-22 16:00:00.0,Intermediário
"0,88253","0,88707","2,09866","2,11123",2002-01-22 16:30:00.0,Fechamento Interbancário
"0,88456","0,88644","2,09278","2,09794",2002-01-22 17:54:00.0,Fechamento
"0,88343","0,88797","2,0955","2,11515",2002-01-23 09:47:00.0,Abertura
"0,88383","0,88837","2,10175","2,11433",2002-01-23 10:00:00.0,Intermediário
"0,88363","0,88817","2,0995","2,11119",2002-01-23 10:30:00.0,Intermediário
"0,88373","0,88827","2,09974","2,11231",2002-01-23 11:00:00.0,Intermediário
"0,88323","0,88777","2,09944","2,11201",2002-01-23 11:30:00.0,Intermediário
"0,88253","0,88707","2,10042","2,113",2002-01-23 12:00:00.0,Intermediário
"0,88273","0,88727","2,10178","2,11437",2002-01-23 12:30:00.0,Intermediário
"0,88293","0,88747","2,10226","2,11484",2002-01-23 13:00:00.0,Intermediário
"0,88343","0,88797","2,1061","2,1187",2002-01-23 13:30:00.0,Intermediário
"0,88233","0,88687","2,10348","2,11607",2002-01-23 14:00:00.0,Intermediário
"0,88173","0,88627","2,10205","2,11464",2002-01-23 14:30:00.0,Intermediário
"0,88143","0,88597","2,10486","2,11746",2002-01-23 15:00:00.0,Intermediário
"0,88133","0,88587","2,10639","2,119",2002-01-23 15:30:00.0,Intermediário
"0,87854","0,88306","2,09356","2,10611",2002-01-23 16:00:00.0,Intermediário
"0,87624","0,88076","2,08809","2,10061",2002-01-23 16:30:00.0,Fechamento Interbancário
"0,87766","0,87954","2,08848","2,09366",2002-01-23 17:41:00.0,Fechamento
"0,87475","0,87926","2,0819","2,10142",2002-01-24 09:38:00.0,Abertura
"0,87375","0,87825","2,08389","2,09815",2002-01-24 10:00:00.0,Intermediário
"0,87425","0,87875","2,09557","2,10813",2002-01-24 10:30:00.0,Intermediário
"0,87435","0,87885","2,09844","2,11101",2002-01-24 11:00:00.0,Intermediário
"0,87485","0,87936","2,10313","2,11573",2002-01-24 11:30:00.0,Intermediário
"0,87535","0,87986","2,10258","2,11517",2002-01-24 12:00:00.0,Intermediário
"0,87535","0,87986","2,10258","2,11429",2002-01-24 12:30:00.0,Intermediário
"0,87475","0,87926","2,09764","2,11021",2002-01-24 13:00:00.0,Intermediário
"0,87545","0,87996","2,09932","2,11189",2002-01-24 13:30:00.0,Intermediário
"0,87644","0,88096","2,10171","2,1143",2002-01-24 14:00:00.0,Intermediário
"0,87664","0,88116","2,10219","2,11478",2002-01-24 14:30:00.0,Intermediário
"0,87604","0,88056","2,09725","2,1107",2002-01-24 15:00:00.0,Intermediário
"0,87604","0,88056","2,10513","2,11774",2002-01-24 15:30:00.0,Intermediário
"0,87555","0,88006","2,09693","2,1095",2002-01-24 16:00:00.0,Intermediário
"0,87575","0,88026","2,09829","2,11086",2002-01-24 16:30:00.0,Fechamento Interbancário
"0,87746","0,87934","2,10354","2,10874",2002-01-24 17:40:00.0,Fechamento
"0,86636","0,87084","2,07494","2,09437",2002-01-25 09:52:00.0,Abertura
"0,86377","0,86823","2,07305","2,08636",2002-01-25 10:00:00.0,Intermediário
"0,86467","0,86914","2,07779","2,09114",2002-01-25 10:30:00.0,Intermediário
"0,86417","0,86863","2,08092","2,09341",2002-01-25 11:00:00.0,Intermediário
"0,86347","0,86793","2,0801","2,09432",2002-01-25 11:30:00.0,Intermediário
"0,86437","0,86883","2,07881","2,09215",2002-01-25 12:00:00.0,Intermediário
"0,86537","0,86984","2,0838","2,0963",2002-01-25 12:30:00.0,Intermediário
"0,86207","0,86653","2,07587","2,08834",2002-01-25 13:00:00.0,Intermediário
"0,86237","0,86683","2,07659","2,08906",2002-01-25 13:30:00.0,Intermediário
"0,86247","0,86693","2,07683","2,0893",2002-01-25 14:00:00.0,Intermediário
"0,86307","0,86753","2,07827","2,09075",2002-01-25 14:30:00.0,Intermediário
"0,86387","0,86833","2,08279","2,09616",2002-01-25 15:00:00.0,Intermediário
"0,86197","0,86643","2,07822","2,09156",2002-01-25 15:30:00.0,Intermediário
"0,86177","0,86623","2,07601","2,08848",2002-01-25 16:00:00.0,Intermediário
"0,86227","0,86673","2,07721","2,08969",2002-01-25 16:30:00.0,Fechamento Interbancário
"0,86447","0,86633","2,07801","2,08318",2002-01-25 17:30:00.0,Fechamento
"0,85988","0,86433","2,06714","2,08648",2002-01-28 09:39:00.0,Abertura
"0,85778","0,86222","2,06554","2,07795",2002-01-28 10:00:00.0,Intermediário
"0,85798","0,86242","2,07117","2,08361",2002-01-28 10:30:00.0,Intermediário
"0,85748","0,86192","2,07425","2,08671",2002-01-28 11:00:00.0,Intermediário
"0,85608","0,86052","2,07515","2,08762",2002-01-28 11:30:00.0,Intermediário
"0,85618","0,86062","2,07881","2,0913",2002-01-28 12:00:00.0,Intermediário
"0,85808","0,86252","2,07655","2,09075",2002-01-28 12:30:00.0,Intermediário
"0,85768","0,86212","2,0773","2,08978",2002-01-28 13:00:00.0,Intermediário
"0,85888","0,86332","2,0802","2,0927",2002-01-28 13:30:00.0,Intermediário
"0,85928","0,86372","2,08117","2,09367",2002-01-28 14:09:00.0,Intermediário
"0,85888","0,86332","2,0802","2,0927",2002-01-28 14:30:00.0,Intermediário
"0,85858","0,86302","2,08635","2,09887",2002-01-28 15:00:00.0,Intermediário
"0,85898","0,86342","2,08217","2,09466",2002-01-28 15:30:00.0,Intermediário
"0,85978","0,86423","2,08152","2,09402",2002-01-28 16:00:00.0,Intermediário
"0,85968","0,86413","2,08214","2,0955",2002-01-28 16:30:00.0,Fechamento Interbancário
"0,86117","0,86303","2,08575","2,09095",2002-01-28 18:02:00.0,Fechamento
"0,85978","0,86423","2,0798","2,0992",2002-01-29 09:44:00.0,Abertura
"0,85968","0,86413","2,08558","2,0981",2002-01-29 10:00:00.0,Intermediário
"0,85948","0,86392","2,08166","2,09415",2002-01-29 10:30:00.0,Intermediário
"0,85958","0,86403","2,07932","2,0918",2002-01-29 11:00:00.0,Intermediário
"0,86008","0,86453","2,08138","2,09475",2002-01-29 11:30:00.0,Intermediário
"0,86038","0,86483","2,07867","2,09115",2002-01-29 12:00:00.0,Intermediário
"0,86048","0,86493","2,07805","2,09053",2002-01-29 12:30:00.0,Intermediário
"0,86038","0,86483","2,08211","2,09461",2002-01-29 13:00:00.0,Intermediário
"0,85928","0,86372","2,08031","2,0928",2002-01-29 13:30:00.0,Intermediário
"0,85998","0,86443","2,082","2,0945",2002-01-29 14:00:00.0,Intermediário
"0,86177","0,86623","2,08635","2,09887",2002-01-29 14:30:00.0,Intermediário
"0,86217","0,86663","2,09508","2,10764",2002-01-29 15:00:00.0,Intermediário
"0,86317","0,86763","2,107","2,11963",2002-01-29 15:30:00.0,Intermediário
"0,86327","0,86773","2,10293","2,11553",2002-01-29 16:07:00.0,Intermediário
"0,86267","0,86713","2,10147","2,11407",2002-01-29 16:30:00.0,Fechamento Interbancário
"0,86497","0,86683","2,09547","2,10068",2002-01-29 17:53:00.0,Fechamento
"0,86347","0,86793","2,10514","2,1247",2002-01-30 09:47:00.0,Abertura
"0,86427","0,86873","2,10536","2,11884",2002-01-30 10:00:00.0,Intermediário
"0,86307","0,86753","2,1033","2,11504",2002-01-30 10:30:00.0,Intermediário
"0,86277","0,86723","2,1043","2,11691",2002-01-30 11:00:00.0,Intermediário
"0,86137","0,86583","2,09831","2,11002",2002-01-30 11:30:00.0,Intermediário
"0,85838","0,86282","2,08758","2,09925",2002-01-30 12:00:00.0,Intermediário
"0,85948","0,86392","2,09369","2,10625",2002-01-30 12:30:00.0,Intermediário
"0,85938","0,86382","2,09344","2,106",2002-01-30 13:00:00.0,Intermediário
