paridadeCompra,paridadeVenda,cotacaoCompra,cotacaoVenda,dataHoraCotacao,tipoBoletim
"1,44151","1,44829","3,43079","3,46141",2002-01-10 09:36:00.0,Abertura
"1,44091","1,44769","3,43945","3,45998",2002-01-10 10:00:00.0,Intermediário
"1,44121","1,44799","3,44017","3,45925",2002-01-10 10:30:00.0,Intermediário
"1,44031","1,44709","3,43514","3,4542",2002-01-10 11:00:00.0,Intermediário
"1,44101","1,44779","3,43825","3,45732",2002-01-10 11:30:00.0,Intermediário
"1,44241","1,44919","3,44592","3,46501",2002-01-10 12:00:00.0,Intermediário
"1,44141","1,44819","3,44209","3,46262",2002-01-10 12:30:00.0,Intermediário
"1,44181","1,44859","3,43872","3,45923",2002-01-10 13:00:00.0,Intermediário
"1,44051","1,44729","3,43562","3,45613",2002-01-10 13:30:00.0,Intermediário
"1,44151","1,44829","3,438","3,45852",2002-01-10 14:00:00.0,Intermediário
"1,44171","1,44849","3,43848","3,45899",2002-01-10 14:30:00.0,Intermediário
"1,44031","1,44709","3,44234","3,46144",2002-01-10 15:00:00.0,Intermediário
"1,43981","1,44659","3,4685","3,48918",2002-01-10 15:30:00.0,Intermediário
"1,43932","1,44609","3,48459","3,50388",2002-01-10 16:00:00.0,Intermediário
"1,43952","1,44629","3,48364","3,50291",2002-01-10 16:30:00.0,Fechamento Interbancário
"1,44088","1,44332","3,44197","3,44896",2002-01-10 18:08:00.0,Fechamento
"1,44071","1,44749","3,50813","3,53911",2002-01-11 09:35:00.0,Abertura
"1,43952","1,44629","3,50955","3,53473",2002-01-11 10:00:00.0,Intermediário
"1,44041","1,44719","3,5002","3,51957",2002-01-11 10:30:00.0,Intermediário
"1,44021","1,44699","3,49251","3,51619",2002-01-11 11:00:00.0,Intermediário
"1,44071","1,44749","3,4822","3,50727",2002-01-11 11:30:00.0,Intermediário
"1,44251","1,44929","3,48078","3,50293",2002-01-11 12:00:00.0,Intermediário
"1,44201","1,44879","3,48245","3,50317",2002-01-11 12:30:00.0,Intermediário
"1,44191","1,44869","3,47068","3,49424",2002-01-11 13:00:00.0,Intermediário
